role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
8869ede8-7fe9-5331-9a0f-7ac75475fdc2,44,10045,2,1002001000,CORPORATE AND SERVICE OPERATIONS,Sub-family,Yes,,1
8869ede8-7fe9-5331-9a0f-7ac75475fdc2,44,10045,3,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
ee00fa78-b8a0-518e-b160-bbd122d54f51,45,10046,1,1004000000,CAMPUS SERVICES,Job Family,Yes,,1
ee00fa78-b8a0-518e-b160-bbd122d54f51,45,10046,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
0166c3b0-a7e0-53ca-98e7-d38f99331ed7,46,10047,1,1004000000,CAMPUS SERVICES,Job Family,Yes,,1
0166c3b0-a7e0-53ca-98e7-d38f99331ed7,46,10047,2,1022002000,COMMUNITY ENGAGEMENT,Sub-family,Yes,,1
9c181e80-2197-5a6b-b924-43e167b0ed7b,47,10048,1,1024001000,ABORIGINAL STUDENT SUPPORT,Sub-family,Yes,,1
751e9d0d-acad-59e7-9c67-4df425cac4f4,48,10049,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
3018c3e9-0a87-5af4-beb4-ec53745d067e,49,10050,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
bbceced7-f4c6-5113-a4ee-91990d0c70f6,50,10051,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Needs Review,Check if Stores/Logistics applies,1
080ece67-cbc0-505d-b71c-37c6f58171fa,51,10052,1,1003001000,ADMINISTRATION,Sub-family,,,1
bd4ecd67-53cb-5ca3-9897-5aa402b5c953,52,10053,1,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
d22a0138-be5b-5764-977e-d1e5cb9d4089,53,10054,1,1014007000,PAYROLL,Sub-family,Yes,,1
18fd68a1-96b9-554b-b83e-f0059acd6823,54,10055,1,1014002000,HR BUSINESS PARTNERING,Sub-family,Yes,,1
0e05c05d-4ccc-5fa7-b0fb-f47aee5b3d7e,55,10056,1,1016003000,EDUCATIONAL REGULATORY COMPLIANCE,Sub-family,Yes,,1
d062ff55-a2ae-5816-ba0a-adb8758934cc,57,10059,1,1014003001,EMPLOYEE SERVICES,Specialisation,Yes,,1
10a656c7-0845-5341-87f5-f3d03b150403,58,10060,1,1014010004,WHS ADVISORY/OPERATIONS,Specialisation,Yes,,1
