classification_id,raw_label,display_label,abbreviation,cohort,seniority_order,enterprise_agreement,active,notes,updated_at
27,Librarian Grade 5,Librarian Grade 5,LG5,Librarian,200.0,Specialist / legacy classification,1,,2026-07-16 04:49:17
28,PSSE Band 3,PSSE Band 3,PSSE3,Senior Executive,180.0,Public Service Senior Executives,1,,2026-07-16 04:49:17
29,TAFE Manager 3,TAFE Manager Level 3,TM3,TM2-TM4,120.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
30,TAFE Manager level 4,TAFE Manager Level 4,TM4,TM2-TM4,130.0,TAFE Managers Enterprise Agreement,1,,2026-07-16 04:49:17
31,TAFE Worker Level 1,TAFE Worker Level 1,TWL1,TWL1-TWL4,10.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
32,TAFE Worker level 8,TAFE Worker Level 8,TWL8,TWL8-TM1,80.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
33,Trainee,Trainee,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
34,10417-01,10417-01,,Other / Unclassified,200.0,,1,"Looks like a PD number, not a classification",2026-07-16 04:49:17
35,Advanced Childcare Worker – ACCW,Advanced Childcare Worker – ACCW,Childcare,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
36,Artist Model Draped or Artist Model Undraped,Artist Model Draped or Artist Model Undraped,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
37,Assessor,Assessor,Assessor,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
38,Assistant Director,Assistant Director,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
39,Bradfield Learning Coordinator,Bradfield Learning Coordinator,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
40,Casual/TAFE Worker Level 2,TAFE Worker Level 2,TWL2,TWL1-TWL4,20.0,"TAFE Commission of NSW Administrative, Support and Related Employees Enterprise Agreement",1,,2026-07-16 04:49:17
41,Cluster Manager,Cluster Manager,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
42,Contract Teacher,Contract Teacher,Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
43,Disability Class Support (Non-Teaching) Sign Language interpreter (per hour- casual only),Disability Class Support (Non-Teaching) Sign Language interpreter (per hour- casual only),Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
44,Disability Classroom Support (Non-Teaching),Disability Classroom Support (Non-Teaching),Misc Other,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
45,Early Childhood Director,Early Childhood Director,Childcare,Other / Unclassified,200.0,,1,,2026-07-16 04:49:17
